code,system
J615z00,readv2
J612.00,readv2
J615.00,readv2
J617000,readv2
K70.1,readv2
K70.3,readv2
J614300,readv2
J601200,readv2
J600200,readv2
J614z00,readv2
J614200,readv2
J614100,readv2
J614000,readv2
J61..00,readv2
J614.00,readv2
B18,readv2
J614y00,readv2
Jyu7100,readv2
J633.00,readv2
J615y00,readv2
K70.9,readv2
J615400,readv2
K70.0,readv2
J616100,readv2
J616000,readv2
J616z00,readv2
J616.00,readv2
J615300,readv2
J615z12,readv2
C310400,readv2
J615z11,readv2
J615z13,readv2
J612.11,readv2
C350012,readv2
J635600,readv2
K71,readv2
J615100,readv2
J615C00,readv2
J615.11,readv2
J615700,readv2
J61y300,readv2
K70.2,readv2
K74,readv2
K73,readv2
K76.0,readv2